param_fmriSession,param_runNum,param_counterbalanceVer,param_counterbalanceBlockNum,param_cue_type,param_administer_type,param_cond_type,param_triggerOnset,p1_fixation_onset,p1_fixation_duration,p2_cue_onset,p2_cue_type,p2_cue_filename,p3_expect_onset,p3_expect_responseonset,p3_expect_RT,p4_fixation_onset,p4_fixation_duration,p5_administer_type,p5_administer_onset,p6_actual_onset,p6_actual_responseonset,p6_actual_RT,param_end_instruct_onset,param_experimentDuration
1,3,3,1,low,50,5,15219.8026794083,15550.4240228066,1.01594380539063,15551.4565215219,low,l055.png,15552.4645612051,2.4164664982145,15552.4898800502,0,0,50,15556.5446977166,15564.0457988119,2.69988774364174,15564.0557908969,15894.9030034314,675.100324023104
1,3,3,1,low,49,3,15219.8026794083,15568.0895034499,1.91610045661218,15570.0220899558,low,l010.png,15571.0307158996,1.1832079394444,15571.0554609059,0,0,49,15575.1101481422,15582.6112500476,2.2165732187168,15582.6213563603,15894.9030034314,675.100324023104
1,3,3,1,high,50,6,15219.8026794083,15586.6551485756,0.416034161362404,15587.0877749126,high,h013.png,15588.0961291945,2.31647300621989,15588.1211274999,0,0,50,15592.1758609134,15599.6768650636,1.88323934529944,15599.6870172835,15894.9030034314,675.100324023104
1,3,3,1,low,48,1,15219.8026794083,15603.7208148996,1.41607412754092,15605.1533591439,low,l032.png,15606.1615832656,2.5831378906114,15606.1867263135,0,0,48,15610.241499153,15617.7425254467,1.78328960007093,15617.7526301392,15894.9030034314,675.100324023104
1,3,3,1,high,49,4,15219.8026794083,15621.7863613251,1.0160863874371,15622.8190136941,high,h027.png,15623.8273979505,2.54978179275895,15623.8523533194,0,0,49,15627.90706864,15635.4080239127,2.41653319852776,15635.4182633561,15894.9030034314,675.100324023104
1,3,3,1,low,48,1,15219.8026794083,15639.4520752844,3.01600132428393,15642.4845496959,low,l054.png,15643.4927603155,2.86647839355464,15643.517842334,0,0,48,15647.5727318315,15655.0740594918,2.71652960697247,15655.0837799149,15894.9030034314,675.100324023104
1,3,3,1,high,50,6,15219.8026794083,15659.1175489066,3.01605857313734,15662.1500335797,high,h044.png,15663.1584164859,1.74992756129905,15663.1832943528,0,0,50,15667.2381914115,15674.7389741276,2.39987027194002,15674.749298094,15894.9030034314,675.100324023104
1,3,3,1,low,48,1,15219.8026794083,15678.7830616848,2.61603734785604,15681.4155391748,low,l022.png,15682.4236833642,1.99982339269081,15682.4489014836,0,0,48,15686.5037283315,15694.004649849,2.11658539759992,15694.014802879,15894.9030034314,675.100324023104
1,3,3,1,high,49,4,15219.8026794083,15698.0486563937,0.215927008794097,15698.2812182448,high,h022.png,15699.2895006955,3.21640687299441,15699.3145797435,0,0,49,15703.369346102,15710.8704083112,NaN,15710.8805011219,15894.9030034314,675.100324023104
1,3,3,1,high,48,2,15219.8026794083,15714.8973452465,0.416309873995488,15715.3302389248,high,h026.png,15716.3386099493,1.88319154790952,15716.3635828708,0,0,48,15720.4187845367,15727.9198737501,2.01657705330945,15727.9294661734,15894.9030034314,675.100324023104
1,3,3,1,low,49,3,15219.8026794083,15731.9632486671,4.0160550625933,15735.9956698804,low,l051.png,15737.0037538505,1.21654405420668,15737.0290521723,0,0,49,15741.0840342942,15748.5848729089,1.53327819080732,15748.594936555,15894.9030034314,675.100324023104
1,3,3,1,high,49,4,15219.8026794083,15752.6287244497,0.21603367528769,15752.8613667731,high,h018.png,15753.8698412235,2.16648722391983,15753.8947115292,0,0,49,15757.9500206717,15765.4508981724,1.71657740436422,15765.460622376,15894.9030034314,675.100324023104
1,3,3,1,low,50,5,15219.8026794083,15769.4944866925,0.215951852635044,15769.7270274803,low,l049.png,15770.7352216273,1.03320460442774,15770.7603776372,0,0,50,15774.8156468135,15782.3167641112,1.94990725416028,15782.3429813852,15894.9030034314,675.100324023104
