,index,nifti_name,sub,ses,run,task,ev,num,onset,dur,mod,regressor,cue_type,stim_type,expect_rating,actual_rating,cue_con,stim_lin,stim_quad
317,11,sub-0079_ses-03_run-06-cognitive_ev-cue-0011,79,3,6,cognitive,cue,11,374.79373002052307,1,1,True,low_cue,low_stim,4.647970691387034,47.29061004263853,-1,1,1
318,12,sub-0079_ses-03_run-06-cognitive_ev-stim-0000,79,3,6,cognitive,stim,0,23.511980056762695,5,1,True,low_cue,low_stim,2.5603008939086576,28.720326797869483,-1,0,-2
319,13,sub-0079_ses-03_run-06-cognitive_ev-stim-0001,79,3,6,cognitive,stim,1,59.4920699596405,5,1,True,high_cue,med_stim,2.5603008939086576,28.720326797869483,-1,0,-2
320,14,sub-0079_ses-03_run-06-cognitive_ev-stim-0002,79,3,6,cognitive,stim,2,87.1023600101471,5,1,True,high_cue,low_stim,4.859614430972414,11.626980982306025,-1,1,1
321,15,sub-0079_ses-03_run-06-cognitive_ev-stim-0003,79,3,6,cognitive,stim,3,121.99870991706848,5,1,True,high_cue,high_stim,4.859614430972414,11.626980982306025,-1,1,1
322,16,sub-0079_ses-03_run-06-cognitive_ev-stim-0004,79,3,6,cognitive,stim,4,158.79577016830444,5,1,True,low_cue,med_stim,34.39031440871259,65.28920053776979,1,-1,1
323,17,sub-0079_ses-03_run-06-cognitive_ev-stim-0005,79,3,6,cognitive,stim,5,198.79400968551636,5,1,True,low_cue,high_stim,34.39031440871259,65.28920053776979,1,-1,1
324,18,sub-0079_ses-03_run-06-cognitive_ev-stim-0006,79,3,6,cognitive,stim,6,237.79189014434814,5,1,True,low_cue,med_stim,39.8055710922652,40.12860896847591,1,1,1
325,19,sub-0079_ses-03_run-06-cognitive_ev-stim-0007,79,3,6,cognitive,stim,7,267.8030800819397,5,1,True,low_cue,high_stim,39.8055710922652,40.12860896847591,1,1,1
326,20,sub-0079_ses-03_run-06-cognitive_ev-stim-0008,79,3,6,cognitive,stim,8,299.09809017181396,5,1,True,high_cue,low_stim,33.17851165939275,27.694391593141653,1,0,-2
327,21,sub-0079_ses-03_run-06-cognitive_ev-stim-0009,79,3,6,cognitive,stim,9,330.19302010536194,5,1,True,high_cue,high_stim,33.17851165939275,27.694391593141653,1,0,-2
328,22,sub-0079_ses-03_run-06-cognitive_ev-stim-0010,79,3,6,cognitive,stim,10,359.8040599822998,5,1,True,high_cue,med_stim,5.756338261123381,18.943263061251518,-1,-1,1
329,23,sub-0079_ses-03_run-06-cognitive_ev-stim-0011,79,3,6,cognitive,stim,11,386.29727005958557,5,1,True,low_cue,low_stim,5.756338261123381,18.943263061251518,-1,-1,1
